Time,S_true,I_true,R_true,I_observation,S_est,I_est,R_est,U_est,beta_est,beta_true,u_actual,time_ode_used,loss_ode
0,0.999,0.001,0,0,0.8719266057014465,1.5536089392753638e-07,0.12807321548461914,2.8636020488193026e-07,0.7092869877815247,0.6000000000000001,0,0,0
1,0.998263535689069,0.0014906397596852197,0.0002458245512457344,0.001,0.8712371587753296,0.0009793228236958385,0.12778353691101074,2.8433476018108195e-07,0.7092869877815247,0.6000000000000001,0,0,0
2,0.9971670712004179,0.0022207790103248963,0.0006121497892572263,0.005,0.8701180219650269,0.0021404384169727564,0.1277415156364441,2.826827483204397e-07,0.7092869877815247,0.6000000000000001,0,0,0
3,0.9955364238165127,0.0033058865773277946,0.0011576896061595478,0.005,0.8683983683586121,0.0033521896693855524,0.12824946641921997,2.813484911712294e-07,0.7092869877815247,0.6000000000000001,0,0,0
4,0.9931154268490195,0.004915278491826474,0.0019692946591541114,0.006,0.8658201098442078,0.005031250882893801,0.1291486620903015,2.802866276852001e-07,0.7092869877815247,0.6000000000000001,0,0,0
5,0.9895298936530811,0.007295169643296156,0.003174936703622988,0.008,0.8619924187660217,0.007542031817138195,0.130465567111969,2.7945682745667e-07,0.7092869877815247,0.6000000000000001,0,0,0
6,0.9842391133892079,0.010798911711131703,0.004961974899660631,0.008,0.8563239574432373,0.011294132098555565,0.13238191604614258,2.788256381336396e-07,0.7092869877815247,0.6000000000000001,0,0,0
7,0.9764741634781718,0.015923661222368223,0.007602175299460097,0.019,0.8479323983192444,0.016910139471292496,0.13515746593475342,2.783641264159087e-07,0.7092869877815247,0.6000000000000001,0,0,0
8,0.9651678140728802,0.023347900693781738,0.011484285233338287,0.027,0.8355493545532227,0.02514760009944439,0.1393030285835266,2.780475938379823e-07,0.7092869877815247,0.6000000000000001,0,0,0
9,0.9488926716646019,0.03395427275965303,0.01715305557574527,0.032,0.8174875974655151,0.037026796489953995,0.14548557996749878,2.778540988401801e-07,0.7092869877815247,0.6000000000000001,0,0,0
10,0.9258466335654217,0.048804605353306635,0.025348761081271886,0.049,0.7918365001678467,0.05368794873356819,0.15447556972503662,0.17903687059879303,0.7092869877815247,0.6000000000000001,0.18306861082683504,1664.1638548374176,0.0017356385461879385
11,0.8968090170620975,0.05749765245213332,0.0456933304857696,0.067,0.7939873933792114,0.060773227363824844,0.14523935317993164,0.17941056191921234,0.6751710176467896,0.6000000000000001,0.18306861082683504,0,0
