Time,S_true,I_true,R_true,I_observation,S_mean,I_mean,R_mean,U_mean,S_std,I_std,R_std,U_std,beta_true,beta_mean,beta_std,u_actual,u_ideal,time_ode_used_mean,loss_mean
0,0.999,0.001,0.0,0.0,0.8752217441797256,2.4656275199319566e-07,0.12477805465459824,1.1390295910018722e-05,0.028291444628700767,2.2010364615279308e-07,0.028291316983083913,1.3873479144281474e-05,0.6000000000000001,0.7112362384796143,0.026859236902243448,0.0,0.0,0.0,0.0
1,0.998263535689069,0.0014906397596852197,0.0002458245512457344,0.001,0.8745364546775818,0.0009829395276028663,0.12448063492774963,9.133123725746373e-06,0.028305071859562603,2.6326377655253466e-05,0.028304372959920776,1.0271915069390513e-05,0.6000000000000001,0.7112362384796143,0.026859236902243448,0.0,0.0,0.0,0.0
2,0.9971670712004179,0.0022207790103248963,0.0006121497892572263,0.005,0.8733648061752319,0.002177340764319524,0.12445785105228424,8.283515651186235e-06,0.028257473654052765,6.951505999226859e-05,0.0282815860561938,8.996950614230226e-06,0.6000000000000001,0.7112362384796143,0.026859236902243448,0.0,0.0,0.0,0.0
3,0.9955364238165127,0.0033058865773277946,0.0011576896061595478,0.005,0.8716056644916534,0.003417257161345333,0.12497707456350327,0.0001467227327438536,0.028227417650002428,9.586610692607217e-05,0.028244793482331033,0.00018895041737978708,0.6000000000000001,0.7112362384796143,0.026859236902243448,0.0,0.0,0.0,0.0
4,0.9931154268490195,0.004915278491826474,0.0019692946591541114,0.006,0.8690075650811195,0.005075996683444828,0.12591644376516342,0.0017920292686675054,0.028224007534302875,9.592907697491752e-05,0.028201795610331253,0.0019338762833192038,0.6000000000000001,0.7112362384796143,0.026859236902243448,0.0,0.0,0.0,0.0
5,0.9895298936530811,0.007295169643296156,0.003174936703622988,0.008,0.8651688024401665,0.007543242245446891,0.12730921804904938,0.0021963219221809993,0.02823552457215079,0.00011294371912423285,0.028192702143846907,0.0023925138990952373,0.6000000000000001,0.7112362384796143,0.026859236902243448,0.0,0.0,0.0,0.0
6,0.9842391133892079,0.010798911711131703,0.004961974899660631,0.008,0.8594870641827583,0.011274690739810467,0.1292889565229416,0.0013369278096568848,0.028249183587566187,0.0001751805838205901,0.028164089871942074,0.0013602796333729561,0.6000000000000001,0.7112362384796143,0.026859236902243448,0.0,0.0,0.0,0.0
7,0.9764741634781718,0.015923661222368223,0.007602175299460097,0.019,0.8510743230581284,0.01688107685185969,0.1321016103029251,0.0007867731955251145,0.028262847586351086,0.00015393886648990698,0.02811570515046698,0.0007999264912404452,0.6000000000000001,0.7112362384796143,0.026859236902243448,0.0,0.0,0.0,0.0
8,0.9651678140728802,0.023347900693781738,0.011484285233338287,0.027,0.8386584967374802,0.025109842652454972,0.136273093521595,0.0007278513307653611,0.02829418366443822,0.00020630964447558884,0.02805433357012283,0.0007373870083828147,0.6000000000000001,0.7112362384796143,0.026859236902243448,0.0,0.0,0.0,0.0
9,0.9488926716646019,0.03395427275965303,0.01715305557574527,0.032,0.8205329477787018,0.0369680137373507,0.14250227063894272,0.0007099342948677645,0.02837591652518583,0.0006166259833846222,0.027987311311364664,0.0007181087423527415,0.6000000000000001,0.7112362384796143,0.026859236902243448,0.0,0.0,0.0,0.0
10,0.9258466335654217,0.048804605353306635,0.025348761081271886,0.049,0.7947114855051041,0.05357345752418041,0.1516013965010643,0.180794607847929,0.028507516815811457,0.0012105199466815072,0.02790472965642093,0.0016075402297372418,0.6000000000000001,0.7112362384796143,0.026859236902243448,0.18306861082683504,0.16950177309153408,1693.0632328987122,0.0016942719377831912
11,0.8968090170620975,0.05749765245213332,0.0456933304857696,0.067,0.7729930952191353,0.06101784948259592,0.1659761145710945,0.1815770249813795,0.08708387165029831,0.0023081758186745184,0.08468351705234642,0.0011710163246182916,0.6000000000000001,0.719196006655693,0.14056892881367303,0.18306861082683504,0.16950177309153408,0.0,0.0
12,0.8640666378872389,0.06649422699756832,0.06943913511519322,0.073,0.7385137975215912,0.07023059017956257,0.19118205457925797,0.18144130147993565,0.08824306919649921,0.0019768945649259683,0.08595546283910707,0.001177145566025952,0.6000000000000001,0.719196006655693,0.14056892881367303,0.18306861082683504,0.16950177309153408,0.0,0.0
13,0.8280571273570395,0.07532646400615957,0.09661640863680132,0.083,0.7009094581007957,0.07886195089668036,0.22034355998039246,0.18378477729856968,0.08937676876733343,0.0011141520412624748,0.08840132121743167,0.0010798181158504939,0.6000000000000001,0.719196006655693,0.14056892881367303,0.18306861082683504,0.16950177309153408,0.0,0.0
14,0.7895014095881033,0.08344066805619364,0.12705792235570323,0.085,0.6614594981074333,0.08605088945478201,0.2526291012763977,0.18095764704048634,0.09038212510696973,0.000846184291827443,0.08972764920200883,0.0013918268690537822,0.6000000000000001,0.719196006655693,0.14056892881367303,0.18306861082683504,0.16950177309153408,0.0,0.0
15,0.74935382988336,0.09026745613582984,0.16037871398081022,0.113,0.6201338805258274,0.10174066293984652,0.27820970118045807,0.2543741036206484,0.09094880080785854,0.004066971271420936,0.0864920593379628,0.004973758388282593,0.6000000000000001,0.719196006655693,0.14056892881367303,0.2631065347552491,0.19033396018231435,1719.219449967146,0.0009278740562445847
16,0.710257480308935,0.08800551289781408,0.20173700679325088,0.095,0.6467732191085815,0.09528860729187727,0.2592324838042259,0.26286018267273903,0.010491000010078954,0.004510014795250062,0.011514287620408056,0.0006937622322542309,0.6000000000000001,0.6485019624233246,0.011369312877776046,0.2631065347552491,0.19033396018231435,0.0,0.0
17,0.6745025869864588,0.08389306762067923,0.241604345392862,0.102,0.6097665429115295,0.0890370961278677,0.30239126086235046,0.2634909152984619,0.010448706533159687,0.003358885820666259,0.011410056099343242,0.0005836660428634949,0.6000000000000001,0.6485019624233246,0.011369312877776046,0.2631065347552491,0.19033396018231435,0.0,0.0
18,0.6424185565914173,0.07836090078167447,0.2792205426269081,0.077,0.5771816074848175,0.0807434655725956,0.3424927517771721,0.26321569830179214,0.010831158394546016,0.001650621472957418,0.012262080329421967,0.0015692775473039708,0.6000000000000001,0.6485019624233246,0.011369312877776046,0.2631065347552491,0.19033396018231435,0.0,0.0
19,0.614084303248893,0.07187892002905633,0.3140367767220507,0.079,0.5484873652458191,0.0736730806529522,0.378085620701313,0.2614031583070755,0.011061643832145219,0.0018968251254733708,0.012243168120029645,0.001368216922405106,0.6000000000000001,0.6485019624233246,0.011369312877776046,0.2631065347552491,0.19033396018231435,0.0,0.0
20,0.5893885751569602,0.06489309615478793,0.345718328688252,0.073,0.5233677476644516,0.07221469841897488,0.4046129584312439,0.040365603286772966,0.011593322692831047,0.0010671301061423333,0.012319041494259437,0.0017087243162645749,0.6000000000000001,0.6485019624233246,0.011369312877776046,0.038828027440349216,0.03364893322135378,1684.613266736269,0.0006372959783198645
21,0.5656218598848718,0.07227624240098285,0.3621018977141455,0.071,0.4870571158826351,0.07689040154218674,0.4358608312904835,0.03926209360361099,0.004499896618377023,0.0008695594374841716,0.005306749244659241,0.0004954586374653029,0.6000000000000001,0.6593559682369232,0.005322754355471093,0.038828027440349216,0.03364893322135378,0.0,0.0
22,0.5404601881678766,0.07932488490310184,0.38021492692902153,0.076,0.4623360000550747,0.08241512905806303,0.45502927154302597,0.04046716867014766,0.0044319088723846125,0.0009665478743581606,0.005090532531030837,0.0013171597002874993,0.6000000000000001,0.6593559682369232,0.005322754355471093,0.038828027440349216,0.03364893322135378,0.0,0.0
23,0.5143298368679018,0.08572955162982215,0.39994061150227633,0.09,0.4372514486312866,0.08733987342566252,0.4751782864332199,0.039505873806774616,0.004341733903777799,0.0007507641580375071,0.005041721228360446,0.000777867155720298,0.6000000000000001,0.6593559682369232,0.005322754355471093,0.038828027440349216,0.03364893322135378,0.0,0.0
24,0.4877162188479484,0.09119453513103344,0.4210892460210181,0.086,0.41218362376093864,0.09148602001369,0.49587706476449966,0.031033714534714818,0.004157655165459854,0.0007641929188009559,0.005254011207755135,0.0017920702678740302,0.6000000000000001,0.6593559682369232,0.005322754355471093,0.038828027440349216,0.03364893322135378,0.0,0.0
25,0.46112527916070056,0.0954694078004307,0.44340531303886865,0.101,0.3874266669154167,0.09631830174475908,0.5162042826414108,0.39585623145103455,0.003875950990742332,0.0016311069866129578,0.005456349495597607,0.005202568767092407,0.6000000000000001,0.6593559682369232,0.005322754355471093,0.4000000095486332,0.1277004695460389,1674.256474852562,0.0008217723477416936
26,0.439147135437053,0.06861232180013865,0.4922405427628081,0.068,0.39675173163414,0.06594916107133031,0.5365577638149261,0.40003349632024765,0.0098964933012408,0.003851956998606027,0.008175821896880365,0.001666096824654653,0.6000000000000001,0.6326166018843651,0.008961142306963954,0.4000000095486332,0.1277004695460389,0.0,0.0
27,0.4240837244006311,0.04877212976354965,0.527144145835819,0.043,0.3839794285595417,0.043653367552906275,0.5719829127192497,0.40003668889403343,0.009491075601657715,0.0008912647411100658,0.00869402638099403,0.0016427791847720718,0.6000000000000001,0.6326166018843651,0.008961142306963954,0.4000000095486332,0.1277004695460389,0.0,0.0
28,0.4137301284360382,0.03440874282312094,0.5518611287408407,0.041,0.3732192777097225,0.03672622959129512,0.5900894179940224,0.40019623190164566,0.01020207653564592,0.00492811951677261,0.007268708741798204,0.0017301733607889115,0.6000000000000001,0.6326166018843651,0.008961142306963954,0.4000000095486332,0.1277004695460389,0.0,0.0
29,0.4065965285275626,0.02414982094080586,0.5692536505316311,0.025,0.36610620468854904,0.024017393589019775,0.6093543544411659,0.39908723905682564,0.010500515579039759,0.0023737166029326033,0.00853830440291733,0.002152153450526601,0.6000000000000001,0.6326166018843651,0.008961142306963954,0.4000000095486332,0.1277004695460389,0.0,0.0
30,0.4016721682382115,0.01688907984656533,0.5814387519152225,0.016,0.3622560612857342,0.0166966263204813,0.6210752129554749,0.06216565612703562,0.010184628285777856,0.0005495167418923743,0.010319771781515542,0.035283073451165964,0.6000000000000001,0.6326166018843651,0.008961142306963954,0.045445150637260574,-9.956617699747326e-09,1714.1682819724083,0.0005960262663102136
31,0.3976329639287332,0.016793812773880763,0.5855732232973854,0.01,0.3570808656513691,0.011306478409096599,0.6315030828118324,0.044344710651785135,0.006671548036699806,0.0022809620952547066,0.006369497158993231,0.001833698553300193,0.6000000000000001,0.64055135846138,0.011338469497419667,0.045445150637260574,-9.956617699747326e-09,0.0,0.0
32,0.3936615803669415,0.016658993803516958,0.5896794258295409,0.014,0.35359955951571465,0.014614013722166419,0.6316643506288528,0.04463690612465143,0.00666421250341806,0.0006419704720955973,0.006665681222055101,0.002366792117458236,0.6000000000000001,0.64055135846138,0.011338469497419667,0.045445150637260574,-9.956617699747326e-09,0.0,0.0
33,0.3897658543720766,0.016486295570826485,0.5937478500570965,0.02,0.34911172464489937,0.01814383070450276,0.6326953247189522,0.04401502851396799,0.006182943123118302,0.0017840666247269361,0.00637805537711141,0.0028441147871901247,0.6000000000000001,0.64055135846138,0.011338469497419667,0.045445150637260574,-9.956617699747326e-09,0.0,0.0
34,0.38595286950878244,0.016277695212590287,0.5977694352786272,0.012,0.3461628407239914,0.01322757767047733,0.6403871700167656,0.04038338037207723,0.00685412906251169,0.0016055096022947336,0.007137140903782952,0.004332421996719405,0.6000000000000001,0.64055135846138,0.011338469497419667,0.045445150637260574,-9.956617699747326e-09,0.0,0.0
