Time,S_true,I_true,R_true,I_observation,S_mean,I_mean,R_mean,U_mean,S_std,I_std,R_std,U_std,beta_true,beta_mean,beta_std,u_actual,time_ode_used_mean,loss_mean
0,0.999,0.001,0,0.000987,0.9756166785955429,0.0009887568521662615,0.023393385112285614,6.717085483387564e-07,0.001749393364929295,5.226262176585374e-06,0.001751744010453719,1.3494882866237252e-07,0.6000000000000001,0.6155458986759186,0.0010553942973982437,0,0,0
1,0.998263535689069,0.0014906397596852197,0.0002458245512457344,0.001433,0.9748835638165474,0.0014766260283067822,0.02363872528076172,6.370023513113665e-07,0.0017472491774510946,6.6549282900497305e-06,0.0017517330321980044,1.3577431072593696e-07,0.6000000000000001,0.6155458986759186,0.0010553942973982437,0,0,0
2,0.9971670712004179,0.0022207790103248963,0.0006121497892572263,0.00224,0.9737813472747803,0.0022139983193483204,0.02400374412536621,6.106762775459629e-07,0.0017455488769505842,9.92612066187503e-06,0.0017533445008873934,1.3620322459822023e-07,0.6000000000000001,0.6155458986759186,0.0010553942973982437,0,0,0
3,0.9955364238165127,0.0033058865773277946,0.0011576896061595478,0.003405,0.9721414819359779,0.0033051624486688524,0.024552591145038605,5.902778781319284e-07,0.0017409336336469167,1.404161918629237e-05,0.0017523825126535522,1.3638949910130255e-07,0.6000000000000001,0.6155458986759186,0.0010553942973982437,0,0,0
4,0.9931154268490195,0.004915278491826474,0.0019692946591541114,0.004876,0.9697092026472092,0.004919896717183292,0.02537025511264801,5.741921675905814e-07,0.0017344452601902125,2.002437143032419e-05,0.0017507292064998972,1.3643802298209232e-07,0.6000000000000001,0.6155458986759186,0.0010553942973982437,0,0,0
5,0.9895298936530811,0.007295169643296156,0.003174936703622988,0.007267,0.9661058261990547,0.007310375163797289,0.026582390069961548,5.613178934993357e-07,0.00172690863816823,2.8719466559148717e-05,0.0017497912819404353,1.364137021563135e-07,0.6000000000000001,0.6155458986759186,0.0010553942973982437,0,0,0
6,0.9842391133892079,0.010798911711131703,0.004961974899660631,0.010877,0.960783451795578,0.010833018342964351,0.02838040143251419,5.508838576417929e-07,0.001715513472943663,4.329485422934724e-05,0.0017471907653407012,1.3635513634237937e-07,0.6000000000000001,0.6155458986759186,0.0010553942973982437,0,0,0
7,0.9764741634781718,0.015923661222368223,0.007602175299460097,0.016036,0.9529681727290154,0.015988194849342108,0.031037405133247375,5.424017324173747e-07,0.0016959437241122685,6.713721999822171e-05,0.001739121990415703,1.362083434131664e-07,0.6000000000000001,0.6155458986759186,0.0010553942973982437,0,0,0
8,0.9651678140728802,0.023347900693781738,0.011484285233338287,0.023356,0.9415912479162216,0.023456104332581162,0.034938789904117584,5.35414606872564e-07,0.001666778396882455,0.00010144656815435924,0.0017256308928263553,1.3604087537005677e-07,0.6000000000000001,0.6155458986759186,0.0010553942973982437,0,0,0
9,0.9488926716646019,0.03395427275965303,0.01715305557574527,0.03386,0.925221286714077,0.03411816479638219,0.040630802512168884,5.295940397331833e-07,0.0016312827614376401,0.0001475238319084751,0.0017108192878242834,1.3588493752870858e-07,0.6000000000000001,0.6155458986759186,0.0010553942973982437,0,0,0
