Time,S_true,I_true,R_true,I_observation,S_est,I_est,R_est,U_est,beta_est,beta_true,u_actual,time_ode_used,loss_ode
0,0.999,0.001,0,0,0.982276976108551,0.0013331882655620575,0.016389846801757812,3.6104986520513194e-06,0.5832800269126892,0.6000000000000001,0,0,0
1,0.998263535689069,0.0014906397596852197,0.0002458245512457344,0.001,0.9813523292541504,0.0019353375537320971,0.016712307929992676,1.6553811974517885e-06,0.5832800269126892,0.6000000000000001,0,0,0
2,0.9971670712004179,0.0022207790103248963,0.0006121497892572263,0.005,0.9800123572349548,0.002806477015838027,0.0171811580657959,9.583230848875246e-07,0.5832800269126892,0.6000000000000001,0,0,0
3,0.9955364238165127,0.0033058865773277946,0.0011576896061595478,0.005,0.978073239326477,0.004066652152687311,0.017860114574432373,6.514470669571892e-07,0.5832800269126892,0.6000000000000001,0,0,0
4,0.9931154268490195,0.004915278491826474,0.0019692946591541114,0.006,0.9752719402313232,0.005883441306650639,0.0188446044921875,4.942600639878947e-07,0.5832800269126892,0.6000000000000001,0,0,0
5,0.9895298936530811,0.007295169643296156,0.003174936703622988,0.008,0.9712384343147278,0.008496053516864777,0.020265519618988037,4.043766637096269e-07,0.5832800269126892,0.6000000000000001,0,0,0
6,0.9842391133892079,0.010798911711131703,0.004961974899660631,0.008,0.9654545187950134,0.012234306894242764,0.022311151027679443,3.486044874989602e-07,0.5832800269126892,0.6000000000000001,0,0,0
7,0.9764741634781718,0.015923661222368223,0.007602175299460097,0.019,0.9572038054466248,0.01754845678806305,0.02524775266647339,3.117824292075966e-07,0.5832800269126892,0.6000000000000001,0,0,0
8,0.9651678140728802,0.023347900693781738,0.011484285233338287,0.027,0.945525050163269,0.02502835914492607,0.02944660186767578,2.8626979542423214e-07,0.5832800269126892,0.6000000000000001,0,0,0
9,0.9488926716646019,0.03395427275965303,0.01715305557574527,0.032,0.9291849136352539,0.035410091280937195,0.035404980182647705,2.6790038987201115e-07,0.5832800269126892,0.6000000000000001,0,0,0
10,0.9258466335654217,0.048804605353306635,0.025348761081271886,0.049,0.9066826105117798,0.04953952506184578,0.04377788305282593,0.12167926132678986,0.5832800269126892,0.6000000000000001,0.12194752160275435,1746.2823367118835,4.128401248157976e-06
11,0.8958948703121119,0.061110675001516575,0.04299445468637161,0.07,0.852860152721405,0.06508972495794296,0.0820501446723938,0.12169694155454636,0.649649441242218,0.6000000000000001,0.12194752160275435,0,0
12,0.8601027611456559,0.07502580049475364,0.06487143835959064,0.082,0.8134244084358215,0.08110605180263519,0.10546952486038208,0.1211111769080162,0.649649441242218,0.6000000000000001,0.12194752160275435,0,0
13,0.8185862775630617,0.08999606370461102,0.09141765873232738,0.099,0.7674282789230347,0.09829045832157135,0.13428127765655518,0.12260545045137405,0.649649441242218,0.6000000000000001,0.12194752160275435,0,0
14,0.7720284404796178,0.10513321900243826,0.12283834051794405,0.107,0.7161296010017395,0.11467961966991425,0.16919076442718506,0.12114951759576797,0.649649441242218,0.6000000000000001,0.12194752160275435,0,0
15,0.7217036433236241,0.1192889302333575,0.15900742644301835,0.145,0.6598091721534729,0.14065997302532196,0.19953083992004395,0.35732150077819824,0.649649441242218,0.6000000000000001,0.4000000099820904,1759.0236277580261,1.8282834288271533e-05
16,0.6758722591484502,0.0995097910203711,0.22461794983117866,0.106,0.9522989392280579,1.899389800996687e-08,0.04770106077194214,0.4172106087207794,0.8516079783439636,0.6000000000000001,0.4000000099820904,0,0
17,0.6403022860556794,0.08101603408480888,0.2786816798595119,0.099,0.9522997140884399,1.8932986733943835e-08,0.04770028591156006,0.42557790875434875,0.8516079783439636,0.6000000000000001,0.4000000099820904,0,0
18,0.6129840280955775,0.06473276229677247,0.32228320960765033,0.064,0.9523007869720459,1.8878969498814513e-08,0.0476992130279541,0.41860824823379517,0.8516079783439636,0.6000000000000001,0.4000000099820904,0,0
19,0.5921451132323422,0.05098451476289647,0.35687037200476174,0.057,0.9523022174835205,1.8831245895967186e-08,0.04769778251647949,0.3386825919151306,0.8516079783439636,0.6000000000000001,0.4000000099820904,0,0
20,0.576318038841987,0.03971950912324189,0.3839624520347716,0.046,0.9523040056228638,1.878923328035853e-08,0.04769599437713623,0.053016822785139084,0.8516079783439636,0.6000000000000001,-9.98E-09,1756.9839775562286,3.626992398753958e-11
