Time,S_true,I_true,R_true,I_observation,S_mean,I_mean,R_mean,U_mean,S_std,I_std,R_std,U_std,beta_true,beta_mean,beta_std,u_actual,time_ode_used_mean,loss_mean
0,0.999,0.001,0,0,0.9824497774243355,0.001299712952459231,0.016412153840065002,2.4649973369150757e-05,0.003528349046840145,2.0846485004678817e-05,0.0039283030312031245,6.0410596247157515e-05,0.6000000000000001,0.5887248516082764,0.0184156893953403,0,0,0
1,0.998263535689069,0.0014906397596852197,0.0002458245512457344,0.001,0.9816615656018257,0.0018853844667319208,0.016687721014022827,1.8971324863059635e-05,0.003255904349832984,2.984421064948159e-05,0.003830934994957814,4.690189834798311e-05,0.6000000000000001,0.5887248516082764,0.0184156893953403,0,0,0
2,0.9971670712004179,0.0022207790103248963,0.0006121497892572263,0.005,0.98051917552948,0.0027330750599503517,0.0170881524682045,1.5257258759504566e-05,0.0028713075091937068,4.247994228979706e-05,0.003691474291474135,3.779302507328858e-05,0.6000000000000001,0.5887248516082764,0.0184156893953403,0,0,0
3,0.9955364238165127,0.0033058865773277946,0.0011576896061595478,0.005,0.9788660854101181,0.003958447166951373,0.01766888052225113,1.270500094108229e-05,0.002341971941834754,6.023955046330224e-05,0.0034897690170541933,3.144441340487989e-05,0.6000000000000001,0.5887248516082764,0.0184156893953403,0,0,0
4,0.9931154268490195,0.004915278491826474,0.0019692946591541114,0.006,0.9764799475669861,0.005715364299248904,0.018508464097976685,1.0891364503606837e-05,0.0016937974766413433,6.862868084919698e-05,0.003200727129835261,2.6882764244656605e-05,0.6000000000000001,0.5887248516082764,0.0184156893953403,0,0,0
5,0.9895298936530811,0.007295169643296156,0.003174936703622988,0.008,0.9730455130338669,0.007801857078447938,0.01972026377916336,9.56213128233685e-06,0.0013984874716656726,0.0011435315304713742,0.0027930731276475823,2.351758672117714e-05,0.6000000000000001,0.5887248516082764,0.0184156893953403,0,0,0
6,0.9842391133892079,0.010798911711131703,0.004961974899660631,0.008,0.9676632285118103,0.010865614283829927,0.021465964615345,8.559984149059119e-06,0.001683996710145129,0.0026143842554183453,0.002239625586410397,2.0977773964189215e-05,0.6000000000000001,0.5887248516082764,0.0184156893953403,0,0,0
7,0.9764741634781718,0.015923661222368223,0.007602175299460097,0.019,0.9596286490559578,0.015283112355973572,0.023974820971488953,7.788490925975111e-06,0.0017250538410862014,0.00453983526561805,0.0015936288587001122,1.902117248297074e-05,0.6000000000000001,0.5887248516082764,0.0184156893953403,0,0,0
8,0.9651678140728802,0.023347900693781738,0.011484285233338287,0.027,0.9482518658041954,0.021552404097747058,0.027564309537410736,7.183655647224896e-06,0.0017880464740661196,0.0071181182268380975,0.0014602126890991545,1.7486557924295944e-05,0.6000000000000001,0.5887248516082764,0.0184156893953403,0,0,0
9,0.9488926716646019,0.03395427275965303,0.01715305557574527,0.032,0.9323213994503021,0.030300252983579412,0.033236756920814514,6.701876497317016e-06,0.001881655942020807,0.010594558095113886,0.001676936435154571,1.626383720130816e-05,0.6000000000000001,0.5887248516082764,0.0184156893953403,0,0,0
10,0.9258466335654217,0.048804605353306635,0.025348761081271886,0.049,0.9103547409176826,0.042252830797224306,0.04143897444009781,0.12169789522886276,0.0020160612815408405,0.015250679020043527,0.001716804119484771,0.00048703522782674757,0.6000000000000001,0.5887248516082764,0.0184156893953403,0.12194752160275435,1724.8076791465282,3.5453208422926014e-06
11,0.8958948703121119,0.061110675001516575,0.04299445468637161,0.07,0.8516700714826584,0.0657495604828,0.08253723382949829,0.12193151749670506,0.006606957570570923,0.0016915025924444725,0.006066888046901397,0.0002933452449113366,0.6000000000000001,0.6491502225399017,0.005847391898875876,0.12194752160275435,0,0
12,0.8601027611456559,0.07502580049475364,0.06487143835959064,0.082,0.8121344372630119,0.0810907855629921,0.10640943050384521,0.12131616100668907,0.006804567771889545,0.00028288408795853315,0.006268104495158653,0.00041885332088798124,0.6000000000000001,0.6491502225399017,0.005847391898875876,0.12194752160275435,0,0
