Time,S_true,I_true,R_true,I_observation,S_est,I_est,R_est,U_est,beta_est,beta_true,u_actual,s,time_data_used,loss_ode
0,0.999,0.001,0,0,0.9978669881820679,0.002133038127794862,0,0.0007249843329191208,0.5590087175369263,0.6000000000000001,0,0,0,0
1,0.998263535689069,0.0014906397596852197,0.0002458245512457344,0.001,0.9971690602134913,0.00240432214923203,0.00042660762555897237,0.0004202139680273831,0.5590087175369263,0.6000000000000001,0,0,0,0
2,0.9971670712004179,0.0022207790103248963,0.0006121497892572263,0.005,0.9961753574199974,0.0029171588830649853,0.0009074720554053783,0.0002732916618697345,0.5590087175369263,0.6000000000000001,0,0,0,0
3,0.9955364238165127,0.0033058865773277946,0.0011576896061595478,0.005,0.9947206249460578,0.0037884509656578302,0.0014909038320183752,0.0001945128315128386,0.5590087175369263,0.6000000000000001,0,0,0,0
4,0.9931154268490195,0.004915278491826474,0.0019692946591541114,0.006,0.9925225289072841,0.005228888709098101,0.002248594025149941,0.00014846031263004988,0.5590087175369263,0.6000000000000001,0,0,0,0
5,0.9895298936530811,0.007295169643296156,0.003174936703622988,0.008,0.9891285665798932,0.007577069569379091,0.0032943717669695616,0.00011959562107222155,0.5590087175369263,0.6000000000000001,0,0,0,0
6,0.9842391133892079,0.010798911711131703,0.004961974899660631,0.008,0.9838844052981586,0.01130580436438322,0.00480978568084538,0.00010045618546428159,0.5590087175369263,0.6000000000000001,0,0,0,0
7,0.9764741634781718,0.015923661222368223,0.007602175299460097,0.019,0.9759844662155956,0.016944585368037224,0.007070946553722024,8.71719530550763e-05,0.5590087175369263,0.6000000000000001,0,0,0,0
8,0.9651678140728802,0.023347900693781738,0.011484285233338287,0.027,0.9646466141100973,0.024893520399928093,0.01045986362732947,7.76006854721345e-05,0.5590087175369263,0.6000000000000001,0,0,0,0
9,0.9488926716646019,0.03395427275965303,0.01715305557574527,0.032,0.9493480810429901,0.035213347524404526,0.015438567707315089,7.048887346172705e-05,0.5590087175369263,0.6000000000000001,0,0,0,0
10,0.9258466335654217,0.048804605353306635,0.025348761081271886,0.049,0.9299717204179615,0.047547053545713425,0.022481237212195995,0.13483402132987976,0.5590087175369263,0.6000000000000001,0.13313682953762812,1461.7762727737427,473.1743836402893,0.002952736939188904
11,0.8960649845389783,0.060432701669995884,0.043502313791026086,0.049,0.9060319755618359,0.057826511561870575,0.03614150542571289,0.13774214684963226,0.6231985092163086,0.6000000000000001,0.13313682953762812,0,0,0
12,0.86085181378976,0.07338646521298052,0.06576172099725981,0.086,0.8710933629817298,0.07350102066993713,0.05540564615065545,0.13593293726444244,0.6231985092163086,0.6000000000000001,0.13313682953762812,0,0,0
13,0.8204002757608585,0.08711486881554278,0.09248485542359887,0.082,0.8298824622686375,0.09022599458694458,0.07989154314441797,0.13817419111728668,0.6231985092163086,0.6000000000000001,0.13313682953762812,0,0,0
14,0.7754115153468027,0.10078961520163061,0.12379886945156651,0.115,0.7828260330326355,0.10722485184669495,0.10994914492299189,0.14691515266895294,0.6231985092163086,0.6000000000000001,0.13313682953762812,0,0,0
15,0.7270974893666011,0.11338399304115106,0.15951851759224758,0.123,0.730510479851711,0.12381985783576965,0.14566969211484174,0.38839191198349,0.6231985092163086,0.6000000000000001,0.4000000099798967,1482.454449415207,462.4415674209595,0.04278329026809577
16,0.68306363540839,0.0949452798033871,0.2219910847882226,0.085,0.6893131419278449,0.09185247868299484,0.21883437193857963,0.40499889850616455,0.6527051329612732,0.6000000000000001,0.4000000099798967,0,0,0
17,0.6486480301602418,0.07766307873523387,0.2736888911045239,0.076,0.6504457672466517,0.07560836523771286,0.2739458600650548,0.4045981168746948,0.6527051329612732,0.6000000000000001,0.4000000099798967,0,0,0
18,0.6220305369089615,0.06237949159721494,0.31558997149382306,0.066,0.616767489655216,0.06392161548137665,0.31931087996224616,0.40052318572998047,0.6527051329612732,0.6000000000000001,0.4000000099798967,0,0,0
19,0.6015868693568099,0.04940490888051667,0.3490082217626731,0.047,0.5889876088512311,0.053348518908023834,0.3576638498890033,0.33709800243377686,0.6527051329612732,0.6000000000000001,0.4000000099798967,0,0,0
20,0.5859569122523699,0.038710166166181184,0.37533292158144876,0.037,0.5661926001958975,0.04413444548845291,0.3896729617662303,0.021926527842879295,0.6527051329612732,0.6000000000000001,-9.99E-09,1472.1647629737854,469.2295889854431,0.6296229021135162
21,0.5714654698862861,0.04485420147518858,0.383680328638525,0.046,0.5611290627161329,0.045684974640607834,0.3931859440168078,0.007792085409164429,0.6481430530548096,0.6000000000000001,-9.99E-09,0,0,0
22,0.555196092191798,0.05149600766988694,0.39330790013831474,0.058,0.5456928109657664,0.05198422446846962,0.40232293848873196,0.00046862216549925506,0.6481430530548096,0.6000000000000001,-9.99E-09,0,0,0
23,0.5371798135103176,0.05851612102876534,0.4043040654609165,0.056,0.5289322766917277,0.05834796279668808,0.41271978286332595,0.0001367828226648271,0.6481430530548096,0.6000000000000001,-9.99E-09,0,0,0
24,0.5175260590338225,0.06574553885692941,0.4167284021092479,0.057,0.5110161179425756,0.06459449976682663,0.4243893748400171,9.153946302831173e-05,0.6481430530548096,0.6000000000000001,-9.99E-09,0,0,0
25,0.4964283015736877,0.0729696943913582,0.4306020040349541,0.074,0.4919428602472396,0.07074886560440063,0.43730827414835977,0.054165665060281754,0.6481430530548096,0.6000000000000001,0.05663287779740526,1478.184136390686,469.0804183483124,0.4141043672820652
26,0.47477455214026115,0.07554750031186729,0.4496779475478717,0.084,0.447768125143753,0.08504355698823929,0.4671883253185883,0.06018082797527313,0.6430020332336426,0.6000000000000001,0.05663287779740526,0,0,0
27,0.45348607578106653,0.07721404423493075,0.46929987998400285,0.089,0.41454286999276846,0.09644385427236557,0.48901329808660776,0.06007950007915497,0.6430020332336426,0.6000000000000001,0.05663287779740526,0,0,0
28,0.4328423693065164,0.07792980777088737,0.4892278229225963,0.102,0.3865369580552145,0.09969909489154816,0.5137639619543986,0.05670088902115822,0.6430020332336426,0.6000000000000001,0.05663287779740526,0,0,0
29,0.4130783921881984,0.0777036972343974,0.5092179105774044,0.094,0.3689039997764251,0.09174599498510361,0.5393500275902131,0.04849059134721756,0.6430020332336426,0.6000000000000001,0.05663287779740526,0,0,0
30,0.39437693069594554,0.07658871071981826,0.5290343585842362,0.077,0.36029332203799913,0.07681163400411606,0.5628950663096266,0.3999955952167511,0.6430020332336426,0.6000000000000001,0.40000000937365154,1695.7821509838104,472.3691916465759,4.5924653662620995e-06
31,0.3794925252767095,0.05300090804473324,0.567506566678557,0.046,0.34668315751943823,0.04630039632320404,0.6070164312561965,0.40391120314598083,0.6588965058326721,0.6000000000000001,0.40000000937365154,0,0,0
32,0.3695586454675731,0.036409350843590066,0.5940320036888369,0.029,0.33528990507032064,0.02991345524787903,0.6347966694841227,0.39806440472602844,0.6588965058326721,0.6000000000000001,0.40000000937365154,0,0,0
33,0.362901860832117,0.024889147738864505,0.6122089914290182,0.022,0.32706811757564314,0.020187148824334145,0.6527447429132485,0.40279775857925415,0.6588965058326721,0.6000000000000001,0.40000000937365154,0,0,0
34,0.35842781988329203,0.016958054538322,0.6246141255783856,0.013,0.32166260232658705,0.01348034292459488,0.6648570323970763,0.40265780687332153,0.6588965058326721,0.6000000000000001,0.40000000937365154,0,0,0
35,0.3554144333596793,0.01152867080032978,0.6330568958399907,0.009,0.3172692287704518,0.009785539470613003,0.6729452382781932,0.3829570710659027,0.6588965058326721,0.6000000000000001,0.37414701923342797,1481.6913170814514,469.3001399040222,1.3810917509274412
36,0.3533571298299963,0.008030829227704738,0.6386120409422988,0.006,0.3264918512555802,0.006887905299663544,0.6666202359941756,0.37784531712532043,0.6459220051765442,0.6000000000000001,0.37414701923342797,0,0,0
37,0.35193180182988126,0.00558847772954946,0.6424797204405692,0.008,0.3240562649357619,0.005368813406676054,0.6705749062907396,0.3751727044582367,0.6459220051765442,0.6000000000000001,0.37414701923342797,0,0,0
38,0.3509436980007983,0.0038861212226394878,0.6451701807765623,0.004,0.3219146956439227,0.004427890758961439,0.6736573945050031,0.3744582533836365,0.6459220051765442,0.6000000000000001,0.37414701923342797,0,0,0
39,0.3502583977875191,0.002700998135268938,0.6470406040772121,0.005,0.3199755151590111,0.0038248545024544,0.6761996547857521,0.3672116994857788,0.6459220051765442,0.6000000000000001,0.37414701923342797,0,0,0
40,0.3497829605843887,0.0018766501239135536,0.6483403892916979,0.001,0.31818211572288313,0.003422193229198456,0.6783956835973378,0.010214852169156075,0.6459220051765442,0.6000000000000001,0,0,0,0
41,0.34938740529468587,0.0018950377530264253,0.6487175569522879,0.003,0.31777746127961914,0.0031424371991306543,0.6790801222431775,0.00414027227088809,0.6459220051765442,0.6000000000000001,0,0,0,0
42,0.34898847571230773,0.0019131495718132652,0.6490983747158792,0.004,0.3173503183298443,0.002941095270216465,0.6797086096830036,0.0026208902709186077,0.6459220051765442,0.6000000000000001,0,0,0,0
43,0.3485862436890488,0.0019309704001543014,0.6494827859107971,0.002,0.31691140891096337,0.0027917628176510334,0.6802968287370469,0.002142638433724642,0.6459220051765442,0.6000000000000001,0,0,0,0
44,0.3481807840643379,0.0019484851028908191,0.6498707308327716,0.003,0.3164666031957303,0.0026781910564750433,0.6808551813005771,0.001968086464330554,0.6459220051765442,0.6000000000000001,0,0,0,0
45,0.34777217462844795,0.0019656786150770993,0.6502621467564754,0,0.31601917985870287,0.002589992480352521,0.6813908195118721,0.0018945112824440002,0.6459220051765442,0.6000000000000001,0,0,0,0
46,0.3473604960802047,0.001982535967646176,0.6506569679521496,0.003,0.3155708591923748,0.002520308131352067,0.6819088180079426,0.0018598823808133602,0.6459220051765442,0.6000000000000001,0,0,0,0
47,0.3469458319791817,0.001999042313421938,0.6510551257073969,0.005,0.315122647118259,0.0024644602090120316,0.6824128796342129,0.0018420920241624117,0.6459220051765442,0.6000000000000001,0,0,0,0
48,0.34652826869239756,0.0020151829534045367,0.6514565483541985,0.001,0.3146750546064859,0.0024191720876842737,0.6829057716760153,0.0018323026597499847,0.6459220051765442,0.6000000000000001,0,0,0,0
49,0.34610789533552916,0.002030943363256898,0.6518611613012145,0.005,0.31422829427799936,0.0023820900823920965,0.6833896060935521,0.0018266418483108282,0.6459220051765442,0.6000000000000001,0,0,0,0
50,0.3456848037116432,0.0020463092194832485,0.652268887068874,0.002,0.31378251304893545,0.002351488219574094,0.6838660241100306,0.0018232802394777536,0.6459220051765442,0.6000000000000001,0,1467.3633587360382,468.15141320228577,0.8395614836905598
