Time,S_true,I_true,R_true,I_observation,S_est,I_est,R_est,U_est,beta_est,beta_true,u_actual,time_ode_used,time_data_used,loss_ode
0,0.999,0.001,0,0,0.9981511831283569,0.001848789514042437,0,0.0005449872696772218,0.564058780670166,0.6000000000000001,0,0,0,0
1,0.998263535689069,0.0014906397596852197,0.0002458245512457344,0.001,0.9974062735913322,0.002223981311544776,0.00036975790280848744,0.0003714906342793256,0.564058780670166,0.6000000000000001,0,0,0,0
2,0.9971670712004179,0.0022207790103248963,0.0006121497892572263,0.005,0.9963646560208872,0.00282080820761621,0.0008145541651174426,0.0002812427410390228,0.564058780670166,0.6000000000000001,0,0,0,0
3,0.9955364238165127,0.0033058865773277946,0.0011576896061595478,0.005,0.9948500387137755,0.0037712370976805687,0.0013787158066406848,0.00022928295948076993,0.564058780670166,0.6000000000000001,0,0,0,0
4,0.9931154268490195,0.004915278491826474,0.0019692946591541114,0.006,0.9925827273866161,0.00528430100530386,0.0021329632261767985,0.0001969600998563692,0.564058780670166,0.6000000000000001,0,0,0,0
5,0.9895298936530811,0.007295169643296156,0.003174936703622988,0.008,0.9891415621852502,0.007668584585189819,0.0031898234272375705,0.00017561409913469106,0.564058780670166,0.6000000000000001,0,0,0,0
6,0.9842391133892079,0.010798911711131703,0.004961974899660631,0.008,0.9839415039634332,0.01133495382964611,0.004723540344275534,0.00016083833179436624,0.564058780670166,0.6000000000000001,0,0,0,0
7,0.9764741634781718,0.015923661222368223,0.007602175299460097,0.019,0.9762492388254032,0.016760200262069702,0.006990531110204756,0.00015021822764538229,0.564058780670166,0.6000000000000001,0,0,0,0
8,0.9651678140728802,0.023347900693781738,0.011484285233338287,0.027,0.9652502804761752,0.0244071613997221,0.010342571162618696,0.00014234823174774647,0.564058780670166,0.6000000000000001,0,0,0,0
9,0.9488926716646019,0.03395427275965303,0.01715305557574527,0.032,0.9501521352445707,0.0346238911151886,0.015224003442563116,0.0001363664778182283,0.564058780670166,0.6000000000000001,0,0,0,0
10,0.9258466335654217,0.048804605353306635,0.025348761081271886,0.049,0.9302914205705747,0.04755980148911476,0.022148781665600838,0.13257300853729248,0.564058780670166,0.6000000000000001,0.13313682953762812,1512.3676540851593,469.4397523403168,5.305139457554814e-06
11,0.8960649845389783,0.060432701669995884,0.043502313791026086,0.049,0.9026513982597772,0.05957331880927086,0.037775309007983954,0.13427042961120605,0.5935103893280029,0.6000000000000001,0.13313682953762812,0,0,0
12,0.86085181378976,0.07338646521298052,0.06576172099725981,0.086,0.8672213397022279,0.0751572921872139,0.05762137556113879,0.13202311098575592,0.5935103893280029,0.6000000000000001,0.13313682953762812,0,0,0
13,0.8204002757608585,0.08711486881554278,0.09248485542359887,0.082,0.8258700056006114,0.09147093445062637,0.08265903759702038,0.13444161415100098,0.5935103893280029,0.6000000000000001,0.13313682953762812,0,0,0
14,0.7754115153468027,0.10078961520163061,0.12379886945156651,0.115,0.7791384154778307,0.1077302023768425,0.11313137469474625,0.13343149423599243,0.5935103893280029,0.6000000000000001,0.13313682953762812,0,0,0
15,0.7270974893666011,0.11338399304115106,0.15951851759224758,0.123,0.7276739892677259,0.12330574542284012,0.14902027276001462,0.3916873335838318,0.5935103893280029,0.6000000000000001,0.4000000099798967,1469.0025045871735,466.13547563552856,6.4947251299974125e-06
16,0.68306363540839,0.0949452798033871,0.2219910847882226,0.085,0.6861436039847431,0.08716423809528351,0.22669217282113469,0.4154605567455292,0.6126128435134888,0.6000000000000001,0.4000000099798967,0,0,0
17,0.6486480301602418,0.07766307873523387,0.2736888911045239,0.076,0.647123067765007,0.0738862007856369,0.2789907165481949,0.4132733643054962,0.6126128435134888,0.6000000000000001,0.4000000099798967,0,0,0
18,0.6220305369089615,0.06237949159721494,0.31558997149382306,0.066,0.6159340515199323,0.0607435368001461,0.3233224377569537,0.39111340045928955,0.6126128435134888,0.6000000000000001,0.4000000099798967,0,0,0
19,0.6015868693568099,0.04940490888051667,0.3490082217626731,0.047,0.5925657243391541,0.04766570031642914,0.35976856044325556,0.2912646532058716,0.6126128435134888,0.6000000000000001,0.4000000099798967,0,0,0
20,0.5859569122523699,0.038710166166181184,0.37533292158144876,0.037,0.5741823609741654,0.03744965046644211,0.3883679811088118,0.00465810252353549,0.6126128435134888,0.6000000000000001,-9.99E-09,1471.8069202899933,473.7586073875427,3.188262770244533e-05
21,0.5714654698862861,0.04485420147518858,0.383680328638525,0.046,0.5158487921852071,0.04976069927215576,0.4343905085426372,0.00014575857494492084,0.8497635126113892,0.6000000000000001,-9.99E-09,0,0,0
22,0.555196092191798,0.05149600766988694,0.39330790013831474,0.058,0.4995644937853139,0.05609283596277237,0.4443426479001719,0.00022638235532213002,0.8497635126113892,0.6000000000000001,-9.99E-09,0,0,0
23,0.5371798135103176,0.05851612102876534,0.4043040654609165,0.056,0.48162323847796007,0.06281554698944092,0.455561214532599,0.0002576701226644218,0.8497635126113892,0.6000000000000001,-9.99E-09,0,0,0
24,0.5175260590338225,0.06574553885692941,0.4167284021092479,0.057,0.4625393815689027,0.06933629512786865,0.4681243233032287,0.00024284170649480075,0.8497635126113892,0.6000000000000001,-9.99E-09,0,0,0
25,0.4964283015736877,0.0729696943913582,0.4306020040349541,0.074,0.4425829723300927,0.07542542368173599,0.4819915816364295,0.054847486317157745,0.8497635126113892,0.6000000000000001,0.05663287779740526,1699.1774082183838,480.23809337615967,2.0314804306079606
26,0.47477455214026115,0.07554750031186729,0.4496779475478717,0.084,0.4603152861831008,0.08407022058963776,0.45561450812842264,0.059580810368061066,0.6498981714248657,0.6000000000000001,0.05663287779740526,0,0,0
27,0.45348607578106653,0.07721404423493075,0.46929987998400285,0.089,0.42849621086644163,0.0943141058087349,0.4771896907754041,0.058372676372528076,0.6498981714248657,0.6000000000000001,0.05663287779740526,0,0,0
28,0.4328423693065164,0.07792980777088737,0.4892278229225963,0.102,0.4018337765067408,0.0967724546790123,0.5013937911659887,0.05175355076789856,0.6498981714248657,0.6000000000000001,0.05663287779740526,0,0,0
29,0.4130783921881984,0.0777036972343974,0.5092179105774044,0.094,0.38257831416372645,0.09119291603565216,0.5262287847017826,0.035507481545209885,0.6498981714248657,0.6000000000000001,0.05663287779740526,0,0,0
30,0.39437693069594554,0.07658871071981826,0.5290343585842362,0.077,0.3696075166385726,0.08076056838035583,0.5496318851787492,0.40016308426856995,0.6498981714248657,0.6000000000000001,0.40000000937365154,1513.5890538692474,476.84980750083923,0.7634088653049989
31,0.3794925252767095,0.05300090804473324,0.567506566678557,0.046,0.35752495219784286,0.045964621007442474,0.5965104491464565,0.4011140465736389,0.675945520401001,0.6000000000000001,0.40000000937365154,0,0,0
32,0.3695586454675731,0.036409350843590066,0.5940320036888369,0.029,0.34559508062507593,0.030315693467855453,0.6240892221817783,0.3972647786140442,0.675945520401001,0.6000000000000001,0.40000000937365154,0,0,0
33,0.362901860832117,0.024889147738864505,0.6122089914290182,0.022,0.3367839782784434,0.02093738317489624,0.6422786385466603,0.40210142731666565,0.675945520401001,0.6000000000000001,0.40000000937365154,0,0,0
34,0.35842781988329203,0.016958054538322,0.6246141255783856,0.013,0.33137517843389874,0.013783756643533707,0.6548410686478578,0.39916151762008667,0.675945520401001,0.6000000000000001,0.40000000937365154,0,0,0
35,0.3554144333596793,0.01152867080032978,0.6330568958399907,0.009,0.3273437086317763,0.00954494159668684,0.6631113227631822,0.38541093468666077,0.675945520401001,0.6000000000000001,0.37414701923342797,1462.121306180954,468.2655379772186,1.18371219143591
36,0.3533571298299963,0.008030829227704738,0.6386120409422988,0.006,0.32069369679081516,0.005396880209445953,0.6739094006479971,0.3801492154598236,0.6163067817687988,0.6000000000000001,0.37414701923342797,0,0,0
37,0.35193180182988126,0.00558847772954946,0.6424797204405692,0.008,0.3187227543799075,0.004269258119165897,0.6770080033334104,0.3773343861103058,0.6163067817687988,0.6000000000000001,0.37414701923342797,0,0,0
38,0.3509436980007983,0.0038861212226394878,0.6451701807765623,0.004,0.31695356890197035,0.0035872585140168667,0.6794591851568675,0.37622109055519104,0.6163067817687988,0.6000000000000001,0.37414701923342797,0,0,0
39,0.3502583977875191,0.002700998135268938,0.6470406040772121,0.005,0.3153316916301583,0.0031495122238993645,0.6815187989399101,0.36829322576522827,0.6163067817687988,0.6000000000000001,0.37414701923342797,0,0,0
40,0.3497829605843887,0.0018766501239135536,0.6483403892916979,0.001,0.31381815354318154,0.0028547674883157015,0.6833270819953011,0.0073113348335027695,0.6163067817687988,0.6000000000000001,0,0,0,0
41,0.34938740529468587,0.0018950377530264253,0.6487175569522879,0.003,0.3134528360699935,0.00264910445548594,0.6838980354929642,0.0029051185119897127,0.6163067817687988,0.6000000000000001,0,0,0,0
42,0.34898847571230773,0.0019131495718132652,0.6490983747158792,0.004,0.31307017904684675,0.0025019431486725807,0.6844278563840615,0.0024695764295756817,0.6163067817687988,0.6000000000000001,0,0,0,0
43,0.3485862436890488,0.0019309704001543014,0.6494827859107971,0.002,0.312676780754484,0.002394946990534663,0.684928245013796,0.002253463491797447,0.6163067817687988,0.6000000000000001,0,0,0,0
44,0.3481807840643379,0.0019484851028908191,0.6498707308327716,0.003,0.31227623106890146,0.002316536381840706,0.685407234411903,0.0021065270993858576,0.6163067817687988,0.6000000000000001,0,0,0,0
45,0.34777217462844795,0.0019656786150770993,0.6502621467564754,0,0.3118703826700968,0.002259097760543227,0.6858705416882711,0.0020005211699754,0.6163067817687988,0.6000000000000001,0,0,0,0
46,0.3473604960802047,0.001982535967646176,0.6506569679521496,0.003,0.3114602267646862,0.002217430854216218,0.6863223612403797,0.001925241551361978,0.6163067817687988,0.6000000000000001,0,0,0,0
47,0.3469458319791817,0.001999042313421938,0.6510551257073969,0.005,0.3110463044976516,0.0021878716070204973,0.6867658474112229,0.001873454311862588,0.6163067817687988,0.6000000000000001,0,0,0,0
