Time,S_true,I_true,R_true,I_observation,S_mean,I_mean,R_mean,U_mean,S_std,I_std,R_std,U_std,beta_true,beta_mean,beta_std,u_actual,time_ode_used_mean,time_data_used_mean,loss_mean
0,0.999,0.001,0.0,0.0009,0.998815730214119,0.0017372821312164888,-0.0005622357130050659,0.00044934788820683025,0.00037483284943210865,4.5641701020322824e-05,0.00039447817066441205,5.9277068288513037e-05,0.6000000000000001,0.5680101215839386,0.0012276486458344662,0.0,0.0,0.0,0.0
1,0.998263535689069,0.0014906397596852197,0.0002458245512457344,0.0013,0.9980549290776253,0.0020479675149545074,-0.00011176615953445435,0.0003141011511615943,0.0002122982161579468,5.371526514829579e-05,0.00022340123104759463,4.649641201982934e-05,0.6000000000000001,0.5680101215839386,0.0012276486458344662,0.0,0.0,0.0,0.0
2,0.9971670712004179,0.0022207790103248963,0.0006121497892572263,0.002,0.9969686418771744,0.002554631413659081,0.0004635453224182129,0.00023789565602783114,0.0001714195847251857,5.40816913520402e-05,0.00017312082371533194,3.700932967254851e-05,0.6000000000000001,0.5680101215839386,0.0012276486458344662,0.0,0.0,0.0,0.0
3,0.9955364238165127,0.0033058865773277946,0.0011576896061595478,0.0037,0.9954907447099686,0.003379341826075688,0.0011194273829460144,0.0001913433770823758,0.0001302149538733869,5.128424683546913e-05,0.00013205161010246817,3.3145976443243815e-05,0.6000000000000001,0.5680101215839386,0.0012276486458344662,0.0,0.0,0.0,0.0
4,0.9931154268490195,0.004915278491826474,0.0019692946591541114,0.0055,0.993377611041069,0.004723395861219615,0.0018948987126350403,0.00016032026633183705,0.00010945891867323401,9.839363358630994e-05,9.81837700464979e-05,2.9928535716713224e-05,0.6000000000000001,0.5680101215839386,0.0012276486458344662,0.0,0.0,0.0,0.0
5,0.9895298936530811,0.007295169643296156,0.003174936703622988,0.0073,0.9901691749691963,0.0068874486605636775,0.002932541072368622,0.00013866120389138814,0.00021400973301828922,0.00013557608383824775,0.00013057267614246759,2.703147828190509e-05,0.6000000000000001,0.5680101215839386,0.0012276486458344662,0.0,0.0,0.0,0.0
6,0.9842391133892079,0.010798911711131703,0.004961974899660631,0.0102,0.9852788224816322,0.010312937549315393,0.0044068992137908936,0.00012327802051004255,0.00034091195201005407,0.0001961955705921919,0.00017776081539699415,2.5052546618118434e-05,0.6000000000000001,0.5680101215839386,0.0012276486458344662,0.0,0.0,0.0,0.0
7,0.9764741634781718,0.015923661222368223,0.007602175299460097,0.0157,0.9778723046183586,0.015518656931817532,0.0066353753209114075,0.00011198458651051624,0.0005120089409106359,0.0002938974472134037,0.0002467966043419538,2.3650376317290764e-05,0.6000000000000001,0.5680101215839386,0.0012276486458344662,0.0,0.0,0.0,0.0
8,0.9651678140728802,0.023347900693781738,0.011484285233338287,0.0234,0.9670754820108414,0.022963959723711014,0.010032735764980316,0.00010346109957026783,0.0007751092859168396,0.00042957155946581294,0.00043646420322449925,2.2626573854723706e-05,0.6000000000000001,0.5680101215839386,0.0012276486458344662,0.0,0.0,0.0,0.0
9,0.9488926716646019,0.03395427275965303,0.01715305557574527,0.0318,0.9519078657031059,0.032841808162629604,0.015336975455284119,9.687626970844576e-05,0.0011373849889786461,0.0005715079296148773,0.0007616532455081873,2.185997812599815e-05,0.6000000000000001,0.5680101215839386,0.0012276486458344662,0.0,0.0,0.0,0.0
10,0.9258466335654217,0.048804605353306635,0.025348761081271886,0.0458,0.9318918958306313,0.04497299436479807,0.023222215473651886,0.1295814085751772,0.0016526388027392196,0.0007197528283775426,0.001309395072626767,0.0007639808542273195,0.6000000000000001,0.5680101215839386,0.0012276486458344662,0.12973083748250586,1520.1156966388226,466.3729417324066,0.0014946080813076695
11,0.8960133352145964,0.06063827568784726,0.043348389097556825,0.0571,0.8888353332877159,0.059129181783646345,0.0520380362868309,0.13044538162648678,0.006770954109115775,0.0005686392785658898,0.006602900786003395,0.0002988207571870034,0.6000000000000001,0.5990151390433311,0.005408210969699102,0.12973083748250586,0.0,0.0,0.0
12,0.8606249411731404,0.07388166978822475,0.06549338903863533,0.0778,0.8519267067313194,0.07434178330004215,0.0737052857875824,0.12931571900844574,0.007718861265872645,0.0006605165839306633,0.007466362323886004,0.0006696589347874433,0.6000000000000001,0.5990151390433311,0.005408210969699102,0.12973083748250586,0.0,0.0,0.0
13,0.8198520280753836,0.08798214521847571,0.092165826706141,0.0865,0.8090402632951736,0.08970995899289846,0.10124929994344711,0.1302899532020092,0.008839957172193534,0.0007608943850912224,0.008558811992616046,0.00023796559582770329,0.6000000000000001,0.5990151390433311,0.005408210969699102,0.12973083748250586,0.0,0.0,0.0
14,0.7743907805398552,0.102093009986938,0.12351620947320696,0.1065,0.7607869729399681,0.10455224104225636,0.13473165035247803,0.12906700000166893,0.009822035752298756,0.0008639866172742245,0.009596859503477443,0.00038657932268172456,0.6000000000000001,0.5990151390433311,0.005408210969699102,0.12973083748250586,0.0,0.0,0.0
15,0.7254719078139573,0.11515131161263899,0.15937678057340396,0.1182,0.7142720893025398,0.11836606170982122,0.1674552708864212,0.36874406039714813,0.00963371540621587,0.0008938355789653825,0.009474951204969525,0.014313844001922801,0.6000000000000001,0.5990151390433311,0.005408210969699102,0.3830229510055077,1495.7888960540295,465.34042558074,0.039437030199742165
16,0.6805393651700226,0.09795623964196538,0.22150439518801232,0.0948,0.6674879267811775,0.09997995384037495,0.2319297194480896,0.38849006965756416,0.01068101048946769,0.0019640689276625685,0.011154049048078984,0.003790116670411884,0.6000000000000001,0.6413295194506645,0.005461421803706291,0.3830229510055077,0.0,0.0,0.0
17,0.644937670093098,0.0813462685634371,0.27371606134346493,0.0857,0.627560019493103,0.08325917180627584,0.28863562643527985,0.38861359655857086,0.009817480448110729,0.0010665458121130243,0.009870644774463599,0.005511405888384225,0.6000000000000001,0.6413295194506645,0.005461421803706291,0.3830229510055077,0.0,0.0,0.0
18,0.6170545002643586,0.06628362819578013,0.3166618715398612,0.0658,0.5961634069681168,0.06786447111517191,0.33575715124607086,0.3846438527107239,0.00888155867017483,0.0013526327529619349,0.008813837058486195,0.009387569357390007,0.6000000000000001,0.6413295194506645,0.005461421803706291,0.3830229510055077,0.0,0.0,0.0
19,0.5953871889700519,0.05321690995531869,0.3513959010746296,0.0544,0.5723891332745552,0.05430932296440005,0.37386373430490494,0.37164831161499023,0.007852717099068228,0.001035359051556989,0.008055265906348558,0.0152009556158907,0.6000000000000001,0.6413295194506645,0.005461421803706291,0.3830229510055077,0.0,0.0,0.0
20,0.5786385704482048,0.042239005064232976,0.3791224244875622,0.0416,0.5568813309073448,0.04406683938577771,0.3997472673654556,0.0033710365532897413,0.00518509887788808,0.0008440656815011573,0.005578902744442848,0.0008908734892988743,0.6000000000000001,0.6413295194506645,0.005461421803706291,-9.982983108121981e-09,1484.3464485704899,464.07551434636116,0.08172560018157768
21,0.5630775560554203,0.04871311727730326,0.3882093266672764,0.049,0.5417896434664726,0.0482243481092155,0.4098663777112961,0.0008190434127754997,0.009351828141755177,0.00033536252701655834,0.009220826431761382,0.00042211441874426254,0.6000000000000001,0.6353073790669441,0.00977000336374015,-9.982983108121981e-09,0.0,0.0,0.0
22,0.5457352278322486,0.055627624728192875,0.3986371474395585,0.0577,0.5241157934069633,0.05562212551012635,0.4201566129922867,0.0004913638349535177,0.009615961050538623,0.0005141685206626071,0.009530002343205753,0.000218717585798596,0.6000000000000001,0.6353073790669441,0.00977000336374015,-9.982983108121981e-09,0.0,0.0,0.0
23,0.5266865813592143,0.06283350966753155,0.4104799089732543,0.0621,0.5048929564654827,0.06290418654680252,0.43227142095565796,0.00039661706250626594,0.009849686689103241,0.0003996410020329159,0.009929133562790253,0.0001905231111492886,0.6000000000000001,0.6353073790669441,0.00977000336374015,-9.982983108121981e-09,0.0,0.0,0.0
24,0.5060901085517318,0.07013301175907441,0.423776879689194,0.0673,0.4845822751522064,0.06965772341936827,0.445904228836298,0.0003611624961195048,0.010138140674521647,0.0003927881609848705,0.010419926329411975,0.0001844489791096196,0.6000000000000001,0.6353073790669441,0.00977000336374015,-9.982983108121981e-09,0.0,0.0,0.0
25,0.48418875197980493,0.07728773433244324,0.4385235136877519,0.0776,0.4634186625480652,0.07589513156563044,0.46068786829710007,0.06722006667405367,0.010408012299171368,0.0005465218569959758,0.010765187649559632,0.014621449423896414,0.6000000000000001,0.6353073790669441,0.00977000336374015,0.08278530517671945,1543.2079174518585,466.14552852511406,0.09189853291233208
26,0.46221304828726156,0.07737167249923539,0.4604152792135031,0.0799,0.45374566689133644,0.07968347333371639,0.4665295369923115,0.0784989851526916,0.006651325565900294,0.00106307355503299,0.0066139909513238835,0.013551404781374236,0.6000000000000001,0.6285497099161148,0.008519661577237672,0.08278530517671945,0.0,0.0,0.0
27,0.4413450586663936,0.07646570708084138,0.48218923425276494,0.0801,0.43027306348085403,0.0807555066421628,0.48915568739175797,0.08071570005267859,0.006887239712814834,0.001415670100714061,0.006771180715692944,0.010643226171316652,0.6000000000000001,0.6285497099161148,0.008519661577237672,0.08278530517671945,0.0,0.0,0.0
28,0.42176467851018934,0.07465832797674578,0.5035769935130648,0.0823,0.4085492081940174,0.07940919883549213,0.5122281610965729,0.07956845033913851,0.006934335626955941,0.0009799199057033542,0.007079348228416317,0.008635394027262225,0.6000000000000001,0.6285497099161148,0.008519661577237672,0.08278530517671945,0.0,0.0,0.0
29,0.4035873092656338,0.0720723283019096,0.5243403624324562,0.0771,0.3888782784342766,0.07683346047997475,0.5346634164452553,0.06911397818475962,0.006643712897041238,0.0009594772717510119,0.007275930420684542,0.0047193776188952504,0.6000000000000001,0.6285497099161148,0.008519661577237672,0.08278530517671945,0.0,0.0,0.0
30,0.38686963831649396,0.06885123647315843,0.544279125210347,0.0691,0.37157687172293663,0.07355807442218065,0.555279091000557,0.39424795657396317,0.005959409786644492,0.002296943183485033,0.006897052554800172,0.004116315793631178,0.6000000000000001,0.6285497099161148,0.008519661577237672,0.4000000079323774,1547.4870591461658,467.1501168012619,0.06205576790909777
