Time,S_true,I_true,R_true,I_observation,S_mean,I_mean,R_mean,U_mean,S_std,I_std,R_std,U_std,beta_true,beta_mean,beta_std,u_actual,time_ode_used_mean,time_data_used_mean,loss_mean
0,0.999,0.001,0.0,0.0009,0.997937798500061,0.0017074065981432796,0.000354766845703125,0.0003292383626103401,0.0,0.0,0.0,0.0,0.6000000000000001,0.5693903565406799,0.0,0.0,0.0,0.0,0.0
1,0.998263535689069,0.0014906397596852197,0.0002458245512457344,0.0013,0.9976211190223694,0.0020438197534531355,0.0003350377082824707,0.0002440323878545314,0.0,0.0,0.0,0.0,0.6000000000000001,0.5693903565406799,0.0,0.0,0.0,0.0,0.0
2,0.9971670712004179,0.0022207790103248963,0.0006121497892572263,0.002,0.9967031478881836,0.0025727550964802504,0.0007240772247314453,0.0001926034310599789,0.0,0.0,0.0,0.0,0.6000000000000001,0.5693903565406799,0.0,0.0,0.0,0.0,0.0
3,0.9955364238165127,0.0033058865773277946,0.0011576896061595478,0.0037,0.9950918555259705,0.003416550112888217,0.0014916062355041504,0.00015959660231601447,0.0,0.0,0.0,0.0,0.6000000000000001,0.5693903565406799,0.0,0.0,0.0,0.0,0.0
4,0.9931154268490195,0.004915278491826474,0.0019692946591541114,0.0055,0.9932000041007996,0.004780024755746126,0.002019941806793213,0.00013732425577472895,0.0,0.0,0.0,0.0,0.6000000000000001,0.5693903565406799,0.0,0.0,0.0,0.0,0.0
5,0.9895298936530811,0.007295169643296156,0.003174936703622988,0.0073,0.9901231527328491,0.006986972410231829,0.002889871597290039,0.00012166503438493237,0.0,0.0,0.0,0.0,0.6000000000000001,0.5693903565406799,0.0,0.0,0.0,0.0,0.0
6,0.9842391133892079,0.010798911711131703,0.004961974899660631,0.0102,0.9850884079933167,0.010496116243302822,0.004415452480316162,0.00011027565051335841,0.0,0.0,0.0,0.0,0.6000000000000001,0.5693903565406799,0.0,0.0,0.0,0.0,0.0
7,0.9764741634781718,0.015923661222368223,0.007602175299460097,0.0157,0.9776666760444641,0.015848372131586075,0.006484925746917725,0.00010175444185733795,0.0,0.0,0.0,0.0,0.6000000000000001,0.5693903565406799,0.0,0.0,0.0,0.0,0.0
8,0.9651678140728802,0.023347900693781738,0.011484285233338287,0.0234,0.9668393135070801,0.02351376973092556,0.009646892547607422,9.522611799184233e-05,0.0,0.0,0.0,0.0,0.6000000000000001,0.5693903565406799,0.0,0.0,0.0,0.0,0.0
9,0.9488926716646019,0.03395427275965303,0.01715305557574527,0.0318,0.9520313739776611,0.03369374945759773,0.014274895191192627,9.012298687594011e-05,0.0,0.0,0.0,0.0,0.6000000000000001,0.5693903565406799,0.0,0.0,0.0,0.0,0.0
