Time,S_true,I_true,R_true,I_observation,S_mean,I_mean,R_mean,U_mean,S_std,I_std,R_std,U_std,beta_true,beta_mean,beta_std,u_actual,time_ode_used_mean,time_data_used_mean,loss_mean
0,0.999,0.001,0.0,0.000987,0.9988190829753876,0.0017745466466294602,-0.0006725266575813293,0.0003800820486503653,0.00036529049505467997,0.00013716294629167764,0.00034390878703788666,2.7838800483996478e-05,0.6000000000000001,0.5835826098918915,0.007661493741358389,0.0,0.0,0.0,0.0
1,0.998263535689069,0.0014906397596852197,0.0002458245512457344,0.001433,0.9979913309216499,0.002096235810313374,-0.0001496151089668274,0.00026396217435831204,0.0002932808955175166,0.00012655397109545885,0.00018645313115689928,2.6430427573454117e-05,0.6000000000000001,0.5835826098918915,0.007661493741358389,0.0,0.0,0.0,0.0
2,0.9971670712004179,0.0022207790103248963,0.0006121497892572263,0.00224,0.9968811199069023,0.002611730364151299,0.00048682838678359985,0.00019966784566349816,0.00028779879672499004,0.0001285004307528833,0.000187895389374638,3.110440533679968e-05,0.6000000000000001,0.5835826098918915,0.007661493741358389,0.0,0.0,0.0,0.0
3,0.9955364238165127,0.0033058865773277946,0.0011576896061595478,0.003405,0.9953602105379105,0.003442608518525958,0.001191467046737671,0.0001613297608855646,0.0003127842313248011,0.00015737342070513974,0.00019365718095032544,3.29945004501504e-05,0.6000000000000001,0.5835826098918915,0.007661493741358389,0.0,0.0,0.0,0.0
4,0.9931154268490195,0.004915278491826474,0.0019692946591541114,0.004876,0.9931569024920464,0.00480702129425481,0.0020420029759407043,0.00013680746178579284,0.00037702204665052423,0.0002266444021905022,0.0002127678286473711,3.322582815852555e-05,0.6000000000000001,0.5835826098918915,0.007661493741358389,0.0,0.0,0.0,0.0
5,0.9895298936530811,0.007295169643296156,0.003174936703622988,0.007267,0.9898808375000954,0.006987083004787564,0.003130406141281128,0.00012023116232739994,0.000417396714198916,0.0002445263202221507,0.0002632979237648086,3.276322478053566e-05,0.6000000000000001,0.5835826098918915,0.007661493741358389,0.0,0.0,0.0,0.0
6,0.9842391133892079,0.010798911711131703,0.004961974899660631,0.010877,0.984880842268467,0.01044157927390188,0.004689015448093414,0.00010852179684661678,0.00031693633502801914,0.0001894928601068054,0.00026425770338391757,3.205952968643098e-05,0.6000000000000001,0.5835826098918915,0.007661493741358389,0.0,0.0,0.0,0.0
7,0.9764741634781718,0.015923661222368223,0.007602175299460097,0.016036,0.9773031324148178,0.01584740320686251,0.006961740553379059,9.995055779654649e-05,0.0004089828804190287,0.00025129345377679227,0.0002821459522207902,3.131110911998235e-05,0.6000000000000001,0.5835826098918915,0.007661493741358389,0.0,0.0,0.0,0.0
8,0.9651678140728802,0.023347900693781738,0.011484285233338287,0.023356,0.9658083692193031,0.02385324169881642,0.010496735572814941,9.349066067443346e-05,0.0007401465151010438,0.00032091878770687196,0.00038692530301292713,3.0598867675417004e-05,0.6000000000000001,0.5835826098918915,0.007661493741358389,0.0,0.0,0.0,0.0
9,0.9488926716646019,0.03395427275965303,0.01715305557574527,0.03386,0.9493546038866043,0.034763229079544544,0.016025856137275696,8.85025233401393e-05,0.0012543677906963525,0.0004551292143343952,0.0007291059215058395,2.9952149938672362e-05,0.6000000000000001,0.5835826098918915,0.007661493741358389,0.0,0.0,0.0,0.0
10,0.9258466335654217,0.048804605353306635,0.025348761081271886,0.048772,0.9272233918309212,0.0485015413723886,0.02436588704586029,0.1553978119045496,0.002084144550845932,0.0006754193184350609,0.0014556510028270082,0.0005302285263610788,0.6000000000000001,0.5835826098918915,0.007661493741358389,0.15558565591818674,1579.1984686255455,483.0406557023525,0.0018143858272702505
